gid,val,emd_cd,emd_nm
라라214657,11,46230350,진월면
라라079610,45,46230250,광양읍
라라221736,0,46230360,다압면
라라247677,0,46230350,진월면
라라112706,0,46230320,옥룡면
라라148670,0,46230330,옥곡면
라라140844,6,46230360,다압면
라라232668,0,46230350,진월면
라라091723,0,46230320,옥룡면
라라167798,16,46230360,다압면
라라199703,7,46230340,진상면
라라232606,0,46230109,태인동
라라182598,21,46230106,중동
라라194646,8,46230330,옥곡면
라라173805,0,46230360,다압면
라라092669,0,46230320,옥룡면
라라078646,28,46230250,광양읍
라라195662,13,46230340,진상면
라라179607,52,46230106,중동
라라159831,12,46230360,다압면
라라209607,77,46230110,금호동
라라176670,0,46230330,옥곡면
라라256685,0,46230350,진월면
라라059729,7,46230310,봉강면
라라227732,0,46230360,다압면
라라095659,8,46230320,옥룡면
라라104752,0,46230320,옥룡면
라라214737,0,46230360,다압면
라라140607,0,46230104,성황동
라라086686,0,46230310,봉강면
라라080606,9,46230250,광양읍
라라238703,0,46230350,진월면
라라156633,11,46230105,중군동
라라156657,8,46230330,옥곡면
라라240656,8,46230350,진월면
라라188602,0,46230107,마동
라라082640,7,46230250,광양읍
라라106676,15,46230320,옥룡면
라라158685,0,46230330,옥곡면
라라162617,0,46230104,성황동
라라188766,0,46230360,다압면
라라161614,0,46230104,성황동
라라204709,0,46230340,진상면
라라137607,6,46230104,성황동
라라106751,16,46230320,옥룡면
라라116728,0,46230320,옥룡면
라라242607,0,46230109,태인동
라라071680,0,46230310,봉강면
라라096757,0,46230320,옥룡면
라라185610,0,46230106,중동
라라096660,0,46230320,옥룡면
라라100615,9,46230250,광양읍
라라116645,0,46230250,광양읍
라라183664,10,46230330,옥곡면
라라109688,8,46230320,옥룡면
라라090776,0,46230320,옥룡면
라라095672,0,46230320,옥룡면
라라182658,0,46230330,옥곡면
라라113690,0,46230320,옥룡면
라라098720,0,46230320,옥룡면
라라171727,0,46230340,진상면
라라090769,0,46230320,옥룡면
라라082648,197,46230250,광양읍
라라101712,7,46230320,옥룡면
라라075646,8,46230250,광양읍
라라172615,36,46230106,중동
라라192678,0,46230340,진상면
라라193648,0,46230330,옥곡면
라라151648,0,46230330,옥곡면
라라216658,0,46230350,진월면
라라099693,0,46230320,옥룡면
라라076667,0,46230310,봉강면
라라102590,15,46230250,광양읍
라라073643,31,46230250,광양읍
라라192672,7,46230340,진상면
라라204619,0,46230108,광영동
라라230654,8,46230350,진월면
라라144788,0,46230340,진상면
라라194679,37,46230340,진상면
라라182597,11,46230106,중동
라라098625,0,46230250,광양읍
라라202621,0,46230108,광영동
라라219667,0,46230350,진월면
라라131836,0,46230360,다압면
라라100726,0,46230320,옥룡면
라라097709,0,46230320,옥룡면
라라136832,0,46230360,다압면
라라174618,771,46230106,중동
라라179615,96,46230106,중동
라라160613,0,46230104,성황동
라라209629,0,46230108,광영동
라라245659,0,46230350,진월면
라라198616,20,46230107,마동
라라226609,17,46230109,태인동
라라073647,23,46230250,광양읍
라라247676,6,46230350,진월면
라라049741,0,46230310,봉강면
라라141685,0,46230330,옥곡면
라라193604,6,46230107,마동
라라061608,0,46230250,광양읍
라라213748,0,46230360,다압면
라라100665,17,46230320,옥룡면
라라223641,0,46230350,진월면
라라094711,0,46230320,옥룡면
라라107746,0,46230320,옥룡면
라라047626,9,46230250,광양읍
라라174678,0,46230330,옥곡면
라라195636,259,46230108,광영동
라라136827,0,46230360,다압면
라라155772,6,46230340,진상면
라라194651,0,46230330,옥곡면
라라207605,9,46230110,금호동
라라082606,11,46230250,광양읍
라라168811,0,46230360,다압면
라라187604,0,46230107,마동
라라101658,10,46230250,광양읍
라라226725,14,46230350,진월면
라라117645,7,46230250,광양읍
라라148586,0,46230102,황길동
라라240668,0,46230350,진월면
라라206684,0,46230340,진상면
라라084703,0,46230310,봉강면
라라166614,0,46230104,성황동
라라233712,34,46230350,진월면
라라109664,0,46230320,옥룡면
라라090662,93,46230250,광양읍
라라153589,0,46230103,도이동
라라170660,0,46230330,옥곡면
라라238692,0,46230350,진월면
라라176597,258,46230106,중동
라라239668,0,46230350,진월면
라라081640,35,46230250,광양읍
라라233613,0,46230109,태인동
라라213744,21,46230360,다압면
라라115612,0,46230250,광양읍
라라201722,0,46230340,진상면
라라213747,0,46230360,다압면
라라114620,9,46230250,광양읍
라라094645,11,46230250,광양읍
라라154597,10,46230103,도이동
라라216666,0,46230350,진월면
라라234717,0,46230350,진월면
라라168733,0,46230340,진상면
라라208623,0,46230108,광영동
라라107700,6,46230320,옥룡면
라라143666,0,46230330,옥곡면
라라192604,0,46230107,마동
라라077638,77,46230250,광양읍
라라117696,0,46230320,옥룡면
라라113677,0,46230320,옥룡면
라라177600,6,46230106,중동
라라218649,0,46230350,진월면
라라232715,0,46230350,진월면
라라115609,9,46230250,광양읍
라라059721,0,46230310,봉강면
라라193698,11,46230340,진상면
라라180612,84,46230106,중동
라라081601,13,46230250,광양읍
라라103857,0,46230360,다압면
라라109730,0,46230320,옥룡면
라라164827,0,46230360,다압면
라라058633,10,46230250,광양읍
라라121863,0,46230360,다압면
라라181667,0,46230330,옥곡면
라라088785,0,46230320,옥룡면
라라143585,0,46230102,황길동
라라225647,0,46230350,진월면
라라112872,0,46230360,다압면
라라054737,0,46230310,봉강면
라라233610,13,46230109,태인동
라라193696,21,46230340,진상면
라라102657,0,46230250,광양읍
라라154716,0,46230340,진상면
라라171729,6,46230340,진상면
라라184773,16,46230360,다압면
라라071701,21,46230310,봉강면
라라105724,17,46230320,옥룡면
라라138692,22,46230330,옥곡면
라라082678,0,46230310,봉강면
라라164661,0,46230330,옥곡면
라라186766,0,46230360,다압면
라라094757,7,46230320,옥룡면
라라238682,0,46230350,진월면
라라171740,0,46230340,진상면
라라105752,0,46230320,옥룡면
라라169608,228,46230106,중동
라라179639,0,46230105,중군동
라라055635,0,46230250,광양읍
라라109586,0,46230250,광양읍
라라061635,46,46230250,광양읍
라라184772,0,46230360,다압면
라라159670,0,46230330,옥곡면
라라077667,0,46230310,봉강면
라라167733,22,46230340,진상면
라라073680,8,46230310,봉강면
라라095633,17,46230250,광양읍
라라113711,0,46230320,옥룡면
라라201601,132,46230110,금호동
라라079646,48,46230250,광양읍
라라063624,0,46230250,광양읍
라라119642,0,46230250,광양읍
라라089633,0,46230250,광양읍
라라125855,16,46230360,다압면
라라183666,0,46230330,옥곡면
라라200739,0,46230360,다압면
라라074649,47,46230250,광양읍
라라075594,0,46230250,광양읍
라라075647,108,46230250,광양읍
라라080652,20,46230250,광양읍
라라173675,0,46230330,옥곡면
라라176727,0,46230340,진상면
라라228646,0,46230350,진월면
라라171621,0,46230107,마동
라라184661,22,46230330,옥곡면
라라145585,15,46230102,황길동
라라172613,74,46230106,중동
라라182617,14,46230107,마동
라라184601,0,46230107,마동
라라182619,7,46230107,마동
라라208697,0,46230340,진상면
라라193694,6,46230340,진상면
라라107679,0,46230320,옥룡면
라라109682,0,46230320,옥룡면
라라230651,0,46230350,진월면
라라246685,13,46230350,진월면
라라062728,0,46230310,봉강면
라라115648,0,46230250,광양읍
라라071607,0,46230250,광양읍
라라162758,0,46230340,진상면
라라106697,0,46230320,옥룡면
라라106718,0,46230320,옥룡면
라라233614,0,46230109,태인동
라라254683,0,46230350,진월면
라라251667,0,46230350,진월면
라라121632,0,46230250,광양읍
라라199633,42,46230108,광영동
라라162670,9,46230330,옥곡면
라라084641,55,46230250,광양읍
라라154689,0,46230330,옥곡면
라라108712,30,46230320,옥룡면
라라184619,224,46230107,마동
라라082651,58,46230250,광양읍
라라093758,7,46230320,옥룡면
라라092726,0,46230320,옥룡면
라라182773,0,46230360,다압면
라라247681,0,46230350,진월면
라라043638,0,46230250,광양읍
라라071678,0,46230310,봉강면
라라160615,0,46230104,성황동
라라206750,0,46230360,다압면
라라234644,8,46230350,진월면
라라072648,31,46230250,광양읍
라라195633,165,46230108,광영동
라라115631,6,46230250,광양읍
라라072633,25,46230250,광양읍
라라178610,39,46230106,중동
라라071608,7,46230250,광양읍
라라107628,0,46230250,광양읍
라라146624,10,46230105,중군동
라라209717,0,46230340,진상면
라라098639,16,46230250,광양읍
라라196656,0,46230330,옥곡면
라라207678,13,46230340,진상면
라라239669,0,46230350,진월면
라라117710,0,46230320,옥룡면
라라066654,11,46230310,봉강면
라라070703,0,46230310,봉강면
라라181609,125,46230106,중동
라라185620,0,46230107,마동
라라152609,9,46230104,성황동
라라167731,0,46230340,진상면
라라180613,31,46230106,중동
라라236725,0,46230350,진월면
라라204690,0,46230340,진상면
라라083672,0,46230310,봉강면
라라112673,20,46230320,옥룡면
라라161670,13,46230330,옥곡면
라라061610,0,46230250,광양읍
라라139689,0,46230330,옥곡면
라라254694,15,46230350,진월면
라라210703,0,46230340,진상면
라라158653,0,46230330,옥곡면
라라229612,0,46230109,태인동
라라148673,7,46230330,옥곡면
라라095643,7,46230250,광양읍
라라121715,0,46230320,옥룡면
라라174729,0,46230340,진상면
라라188713,0,46230340,진상면
라라067631,66,46230250,광양읍
라라220670,0,46230350,진월면
라라098714,0,46230320,옥룡면
라라050660,0,46230310,봉강면
라라076651,147,46230250,광양읍
라라089783,0,46230320,옥룡면
라라165767,0,46230340,진상면
라라174788,0,46230360,다압면
라라089769,0,46230320,옥룡면
라라229607,0,46230109,태인동
라라194680,0,46230340,진상면
라라170732,0,46230340,진상면
라라154737,0,46230340,진상면
라라162644,7,46230330,옥곡면
라라203720,0,46230340,진상면
라라106688,0,46230320,옥룡면
라라179729,7,46230340,진상면
라라248680,7,46230350,진월면
라라063629,0,46230250,광양읍
라라135583,0,46230102,황길동
라라057748,0,46230310,봉강면
라라081639,15,46230250,광양읍
라라167604,14,46230104,성황동
라라237708,0,46230350,진월면
라라173788,13,46230360,다압면
라라056751,0,46230310,봉강면
라라205628,41,46230108,광영동
라라179602,0,46230106,중동
라라182661,14,46230330,옥곡면
라라185657,0,46230330,옥곡면
라라195663,7,46230340,진상면
라라197759,21,46230360,다압면
라라065659,7,46230310,봉강면
라라091729,0,46230320,옥룡면
라라076648,46,46230250,광양읍
라라101665,15,46230320,옥룡면
라라171623,285,46230107,마동
라라116620,0,46230250,광양읍
라라156598,7,46230103,도이동
라라157830,8,46230360,다압면
라라184658,7,46230330,옥곡면
라라229609,15,46230109,태인동
라라069663,13,46230310,봉강면
라라107688,7,46230320,옥룡면
라라114749,0,46230320,옥룡면
라라231656,13,46230350,진월면
라라089689,15,46230310,봉강면
라라203599,193,46230110,금호동
라라079645,51,46230250,광양읍
라라168730,7,46230340,진상면
라라176606,20,46230106,중동
라라205629,42,46230108,광영동
라라222708,0,46230350,진월면
라라134607,0,46230104,성황동
라라170607,104,46230106,중동
라라187769,0,46230360,다압면
라라195679,11,46230340,진상면
라라066634,0,46230250,광양읍
라라098617,0,46230250,광양읍
라라148587,8,46230102,황길동
라라099713,0,46230320,옥룡면
라라199631,75,46230108,광영동
라라192634,0,46230108,광영동
라라213607,194,46230110,금호동
라라143590,0,46230102,황길동
라라157612,0,46230104,성황동
라라111696,17,46230320,옥룡면
라라176696,0,46230330,옥곡면
라라202598,115,46230110,금호동
라라096655,0,46230250,광양읍
라라183603,0,46230106,중동
라라130837,0,46230360,다압면
라라164667,0,46230330,옥곡면
라라094632,0,46230250,광양읍
라라123569,0,46230101,황금동
라라145588,0,46230102,황길동
라라087689,0,46230310,봉강면
라라198717,0,46230340,진상면
라라057732,0,46230310,봉강면
라라105698,0,46230320,옥룡면
라라123570,18,46230101,황금동
라라077610,0,46230250,광양읍
라라056744,6,46230310,봉강면
라라183651,0,46230330,옥곡면
라라158655,7,46230330,옥곡면
라라228604,0,46230109,태인동
라라107699,0,46230320,옥룡면
라라169660,22,46230330,옥곡면
라라183606,0,46230106,중동
라라081652,34,46230250,광양읍
라라235645,7,46230350,진월면
라라158835,0,46230360,다압면
라라255687,12,46230350,진월면
라라057636,20,46230250,광양읍
라라171609,42,46230106,중동
라라073666,0,46230310,봉강면
라라145677,0,46230330,옥곡면
라라158654,9,46230330,옥곡면
라라172722,27,46230340,진상면
라라138697,0,46230330,옥곡면
라라178728,0,46230340,진상면
라라184610,162,46230106,중동
라라057731,12,46230310,봉강면
라라140591,0,46230102,황길동
라라146677,0,46230330,옥곡면
라라198684,0,46230340,진상면
라라205620,6,46230108,광영동
라라083697,0,46230310,봉강면
라라161596,10,46230103,도이동
라라225611,27,46230109,태인동
라라196756,11,46230360,다압면
라라097642,27,46230250,광양읍
라라230682,0,46230350,진월면
라라072700,0,46230310,봉강면
라라163784,0,46230360,다압면
라라181661,23,46230330,옥곡면
라라101590,12,46230250,광양읍
라라183601,12,46230106,중동
라라119643,0,46230250,광양읍
라라073632,14,46230250,광양읍
라라073678,0,46230310,봉강면
라라081655,17,46230250,광양읍
라라191680,0,46230340,진상면
라라118695,0,46230320,옥룡면
라라193729,10,46230340,진상면
라라182608,107,46230106,중동
라라097754,0,46230320,옥룡면
라라179621,6,46230107,마동
라라205631,0,46230108,광영동
라라184660,32,46230330,옥곡면
라라095638,0,46230250,광양읍
라라169640,0,46230105,중군동
라라056638,138,46230250,광양읍
라라176602,782,46230106,중동
라라103671,0,46230320,옥룡면
라라224601,8,46230109,태인동
라라069610,9,46230250,광양읍
라라187654,0,46230330,옥곡면
라라058759,0,46230310,봉강면
라라108581,0,46230101,황금동
라라090785,7,46230320,옥룡면
라라144572,67,46230102,황길동
라라193697,7,46230340,진상면
라라232713,0,46230350,진월면
라라078637,96,46230250,광양읍
라라090723,9,46230320,옥룡면
라라102585,0,46230250,광양읍
라라179595,50,46230106,중동
라라083667,0,46230310,봉강면
라라101591,27,46230250,광양읍
라라145719,0,46230340,진상면
라라207673,17,46230340,진상면
라라092757,0,46230320,옥룡면
라라213604,147,46230110,금호동
라라145721,0,46230340,진상면
라라232651,12,46230350,진월면
라라205697,7,46230340,진상면
라라164756,0,46230340,진상면
라라197631,17,46230108,광영동
라라175693,12,46230330,옥곡면
라라211607,40,46230110,금호동
라라095757,0,46230320,옥룡면
라라145789,0,46230340,진상면
라라058728,8,46230310,봉강면
라라067611,0,46230250,광양읍
라라154833,0,46230360,다압면
라라199694,19,46230340,진상면
라라146571,7,46230102,황길동
라라191606,284,46230107,마동
라라205618,7,46230108,광영동
라라150609,0,46230104,성황동
라라085621,15,46230250,광양읍
라라186660,0,46230330,옥곡면
라라145651,7,46230330,옥곡면
라라106629,0,46230250,광양읍
라라232654,11,46230350,진월면
라라066631,613,46230250,광양읍
라라072678,18,46230310,봉강면
라라112615,0,46230250,광양읍
라라171583,0,46230103,도이동
라라173605,78,46230106,중동
라라236614,0,46230109,태인동
라라071642,55,46230250,광양읍
라라221647,0,46230350,진월면
라라190649,8,46230330,옥곡면
라라253694,0,46230350,진월면
라라070650,94,46230250,광양읍
라라127833,0,46230360,다압면
라라062650,0,46230310,봉강면
라라101853,0,46230360,다압면
라라166747,9,46230340,진상면
라라203603,0,46230110,금호동
라라225612,0,46230109,태인동
라라058624,20,46230250,광양읍
라라122640,0,46230250,광양읍
라라159672,0,46230330,옥곡면
라라099623,27,46230250,광양읍
라라125626,0,46230250,광양읍
라라181607,33,46230106,중동
라라208690,0,46230340,진상면
라라235710,7,46230350,진월면
라라151608,6,46230104,성황동
라라172732,0,46230340,진상면
라라093620,0,46230250,광양읍
라라167669,8,46230330,옥곡면
라라208683,0,46230340,진상면
라라226658,0,46230350,진월면
라라058734,0,46230310,봉강면
라라075642,114,46230250,광양읍
라라187660,0,46230330,옥곡면
라라205703,0,46230340,진상면
라라150676,0,46230330,옥곡면
라라151578,0,46230103,도이동
라라235665,0,46230350,진월면
라라220661,0,46230350,진월면
라라080611,0,46230250,광양읍
라라208662,12,46230340,진상면
라라191645,0,46230330,옥곡면
라라105709,16,46230320,옥룡면
라라107718,7,46230320,옥룡면
라라137830,0,46230360,다압면
라라087785,9,46230320,옥룡면
라라105693,0,46230320,옥룡면
라라108683,9,46230320,옥룡면
라라145678,0,46230330,옥곡면
라라172623,216,46230107,마동
라라208605,202,46230110,금호동
라라200633,141,46230108,광영동
라라081683,0,46230310,봉강면
라라199704,0,46230340,진상면
라라099621,16,46230250,광양읍
라라128637,0,46230250,광양읍
라라054658,0,46230310,봉강면
라라078711,0,46230310,봉강면
라라058634,59,46230250,광양읍
라라161650,7,46230330,옥곡면
라라110724,0,46230320,옥룡면
라라193640,8,46230330,옥곡면
라라225661,0,46230350,진월면
라라061651,24,46230310,봉강면
라라184599,79,46230107,마동
라라206628,19,46230108,광영동
라라239721,0,46230350,진월면
라라109581,0,46230101,황금동
라라142722,0,46230340,진상면
라라094682,11,46230320,옥룡면
라라161615,0,46230104,성황동
라라222645,0,46230350,진월면
라라166708,0,46230340,진상면
라라149646,0,46230330,옥곡면
라라195642,0,46230330,옥곡면
라라169632,0,46230104,성황동
라라196642,6,46230330,옥곡면
라라094660,0,46230320,옥룡면
라라080651,147,46230250,광양읍
라라088722,18,46230320,옥룡면
라라144589,8,46230102,황길동
라라200695,0,46230340,진상면
라라210746,8,46230360,다압면
라라083648,152,46230250,광양읍
라라206664,11,46230340,진상면
라라216738,0,46230360,다압면
라라184774,0,46230360,다압면
라라069688,0,46230310,봉강면
라라109744,0,46230320,옥룡면
라라127637,0,46230250,광양읍
라라210604,92,46230110,금호동
라라112623,0,46230250,광양읍
라라062634,32,46230250,광양읍
라라186776,0,46230360,다압면
라라105676,13,46230320,옥룡면
라라109689,0,46230320,옥룡면
라라176728,11,46230340,진상면
라라059634,54,46230250,광양읍
라라164757,0,46230340,진상면
라라077654,548,46230250,광양읍
라라174599,463,46230106,중동
라라197726,0,46230340,진상면
라라100614,11,46230250,광양읍
라라068649,8,46230250,광양읍
라라233651,0,46230350,진월면
라라254695,10,46230350,진월면
라라055740,0,46230310,봉강면
라라206749,0,46230360,다압면
라라177694,0,46230330,옥곡면
라라173784,0,46230360,다압면
라라238705,24,46230350,진월면
라라080646,66,46230250,광양읍
라라162685,0,46230330,옥곡면
라라201628,95,46230108,광영동
라라136831,11,46230360,다압면
라라164607,0,46230104,성황동
라라175622,29,46230107,마동
라라068650,0,46230250,광양읍
라라194697,0,46230340,진상면
라라087774,0,46230320,옥룡면
라라157778,0,46230340,진상면
라라235644,0,46230350,진월면
라라168659,6,46230330,옥곡면
라라172787,13,46230360,다압면
라라096762,0,46230320,옥룡면
라라118602,0,46230250,광양읍
라라214605,31,46230110,금호동
라라100691,0,46230320,옥룡면
라라162595,12,46230103,도이동
라라082626,12,46230250,광양읍
라라070632,57,46230250,광양읍
라라233644,12,46230350,진월면
라라146578,0,46230102,황길동
라라201679,0,46230340,진상면
라라206751,0,46230360,다압면
라라242657,10,46230350,진월면
라라155672,0,46230330,옥곡면
라라212604,115,46230110,금호동
라라077645,24,46230250,광양읍
라라093662,8,46230320,옥룡면
라라096759,0,46230320,옥룡면
라라137834,0,46230360,다압면
라라200604,324,46230110,금호동
라라052632,15,46230250,광양읍
라라079652,0,46230250,광양읍
라라175621,288,46230107,마동
라라062637,63,46230250,광양읍
라라095759,0,46230320,옥룡면
라라100593,10,46230250,광양읍
라라175674,11,46230330,옥곡면
라라116610,0,46230250,광양읍
라라257683,0,46230350,진월면
라라088690,13,46230310,봉강면
라라158775,0,46230340,진상면
라라207628,684,46230108,광영동
라라197599,228,46230110,금호동
라라083640,31,46230250,광양읍
라라077635,21,46230250,광양읍
라라223726,0,46230350,진월면
라라201655,0,46230330,옥곡면
라라152669,6,46230330,옥곡면
라라209718,0,46230340,진상면
라라062636,197,46230250,광양읍
라라068619,6,46230250,광양읍
라라198630,20,46230108,광영동
라라067632,92,46230250,광양읍
라라145584,0,46230102,황길동
라라223659,0,46230350,진월면
라라185613,0,46230107,마동
라라184665,0,46230330,옥곡면
라라111672,0,46230320,옥룡면
라라170592,7,46230103,도이동
라라165662,7,46230330,옥곡면
라라074680,0,46230310,봉강면
라라074638,35,46230250,광양읍
라라182610,127,46230106,중동
라라113617,0,46230250,광양읍
라라095717,0,46230320,옥룡면
라라128854,0,46230360,다압면
라라150582,0,46230102,황길동
라라105629,7,46230250,광양읍
라라198659,0,46230340,진상면
라라221734,0,46230360,다압면
라라257684,16,46230350,진월면
라라205702,6,46230340,진상면
라라134831,0,46230360,다압면
라라049756,0,46230310,봉강면
라라073668,26,46230310,봉강면
라라181608,37,46230106,중동
라라093780,0,46230320,옥룡면
라라069648,67,46230250,광양읍
라라203755,0,46230360,다압면
라라112726,26,46230320,옥룡면
라라082689,20,46230310,봉강면
라라162646,0,46230330,옥곡면
라라235708,6,46230350,진월면
라라149677,10,46230330,옥곡면
라라201741,0,46230360,다압면
라라209661,0,46230340,진상면
라라083720,0,46230320,옥룡면
라라182618,9,46230107,마동
라라081603,0,46230250,광양읍
라라200627,63,46230108,광영동
라라231631,0,46230350,진월면
라라081667,0,46230310,봉강면
라라154590,0,46230103,도이동
라라187768,14,46230360,다압면
라라196640,6,46230330,옥곡면
라라078615,0,46230250,광양읍
라라079607,0,46230250,광양읍
라라076594,12,46230250,광양읍
라라078641,101,46230250,광양읍
라라200601,241,46230110,금호동
라라238706,0,46230350,진월면
라라084647,335,46230250,광양읍
라라090731,0,46230320,옥룡면
라라100623,19,46230250,광양읍
라라078687,0,46230310,봉강면
라라056748,0,46230310,봉강면
라라081638,39,46230250,광양읍
라라206685,8,46230340,진상면
라라172640,0,46230105,중군동
라라053632,0,46230250,광양읍
라라096605,0,46230250,광양읍
라라100643,667,46230250,광양읍
라라241690,0,46230350,진월면
라라195762,0,46230360,다압면
라라180599,9,46230106,중동
라라083691,0,46230310,봉강면
라라171612,77,46230106,중동
라라180609,45,46230106,중동
라라206690,10,46230340,진상면
라라217738,9,46230360,다압면
라라060637,12,46230250,광양읍
