BDTYP_CD,BULD_NM,BULD_NM_DC,BULD_SE_CD,BUL_MAN_NO,EMD_CD,GRO_FLO_CO,LNBR_MNNM,LNBR_SLNO,UND_FLO_CO,geometry,floor,geometry2,apt_nm
2001,조선내화아파트,상가동,0,17122,108,2,313,0,0,"MULTIPOLYGON (((127.7134148222884 34.96561208785329, 127.7134775235117 34.96557849615682, 127.7135010002809 34.96558244167392, 127.7135173010459 34.96552642576128, 127.7134009484587 34.96550312271646, 127.7133850436594 34.96555302507584, 127.7133977842066 34.96555503253034, 127.7134120649131 34.96558192650303, 127.7133998152775 34.9655911020432, 127.7134148222884 34.96561208785329)))",2,"[[[127.7134148222884, 34.965612087853295], [127.71347752351173, 34.96557849615682], [127.71350100028087, 34.96558244167392], [127.71351730104587, 34.96552642576128], [127.71340094845868, 34.96550312271646], [127.71338504365944, 34.96555302507584], [127.7133977842066, 34.96555503253034], [127.71341206491314, 34.96558192650303], [127.71339981527751, 34.9655911020432], [127.7134148222884, 34.965612087853295]]]",조선내화아파트 상가동
2001,조선내화아파트,,0,17100,108,1,313,0,0,"MULTIPOLYGON (((127.7135682823289 34.96581534604476, 127.7135154957332 34.96581034654247, 127.7135044965645 34.96587673305703, 127.7135584808403 34.9658822122753, 127.7135682823289 34.96581534604476)))",1,"[[[127.71356828232886, 34.965815346044764], [127.71351549573322, 34.96581034654247], [127.71350449656451, 34.96587673305703], [127.71355848084029, 34.9658822122753], [127.71356828232886, 34.965815346044764]]]",
2001,조선내화아파트,나동,0,17119,108,5,313,0,0,"MULTIPOLYGON (((127.7141591677486 34.96486171186874, 127.7140948518841 34.96478207559349, 127.7136310715751 34.96503748321134, 127.7136967511354 34.96511910373753, 127.7141591677486 34.96486171186874)))",5,"[[[127.71415916774863, 34.964861711868735], [127.71409485188414, 34.96478207559349], [127.71363107157511, 34.96503748321134], [127.71369675113544, 34.96511910373753], [127.71415916774863, 34.964861711868735]]]",조선내화아파트 나동
2001,조선내화아파트,가동,0,17120,108,5,313,0,0,"MULTIPOLYGON (((127.7136634040396 34.96515126150663, 127.7135477324851 34.96512182535955, 127.7134170934326 34.96544934310101, 127.7135332407584 34.96547803746412, 127.7136634040396 34.96515126150663)))",5,"[[[127.71366340403958, 34.965151261506634], [127.7135477324851, 34.965121825359546], [127.71341709343262, 34.965449343101014], [127.7135332407584, 34.965478037464116], [127.71366340403958, 34.965151261506634]]]",조선내화아파트 가동
2002,광영그린파크,101동,0,17113,108,4,258,3,0,"MULTIPOLYGON (((127.7142151773421 34.96719985181674, 127.7136606738743 34.96713351096867, 127.7136423152027 34.9672364366747, 127.7141978527995 34.96730199636329, 127.7142151773421 34.96719985181674)))",4,"[[[127.71421517734213, 34.96719985181674], [127.71366067387426, 34.96713351096867], [127.71364231520266, 34.9672364366747], [127.71419785279946, 34.96730199636329], [127.71421517734213, 34.96719985181674]]]",광영그린파크 101동
2002,광영그린파크,105동,0,17112,108,4,258,3,0,"MULTIPOLYGON (((127.7134927446396 34.9676098905205, 127.7130729865816 34.96756395688196, 127.7130554456982 34.96766658025671, 127.7134782899725 34.96771227051789, 127.7134927446396 34.9676098905205)))",4,"[[[127.7134927446396, 34.9676098905205], [127.71307298658164, 34.96756395688196], [127.71305544569825, 34.96766658025671], [127.71347828997247, 34.96771227051789], [127.7134927446396, 34.9676098905205]]]",광영그린파크 105동
2002,광영그린파크,110동,0,17116,108,4,258,3,0,"MULTIPOLYGON (((127.7128580143894 34.96798601587066, 127.7125356862477 34.96795034395597, 127.7125212907809 34.96805084866778, 127.7128580206541 34.96808933863169, 127.7129187640452 34.96809628379932, 127.7132118821519 34.96812978235503, 127.7132164650853 34.96809628803199, 127.7132259701242 34.96802673753724, 127.7128580143894 34.96798601587066)))",4,"[[[127.71285801438944, 34.967986015870665], [127.71253568624766, 34.96795034395597], [127.71252129078088, 34.96805084866778], [127.71285802065407, 34.968089338631685], [127.71291876404521, 34.96809628379932], [127.71321188215185, 34.96812978235503], [127.71321646508525, 34.96809628803199], [127.71322597012424, 34.968026737537244], [127.71285801438944, 34.967986015870665]]]",광영그린파크 110동
2002,광영그린파크,104동,0,17110,108,4,258,3,0,"MULTIPOLYGON (((127.7141038698739 34.9676772609154, 127.7135470819846 34.96761554793706, 127.7135313937526 34.96771708789569, 127.7140871379944 34.96777959124727, 127.7141038698739 34.9676772609154)))",4,"[[[127.71410386987391, 34.9676772609154], [127.71354708198464, 34.96761554793706], [127.71353139375263, 34.967717087895686], [127.7140871379944, 34.96777959124727], [127.71410386987391, 34.9676772609154]]]",광영그린파크 104동
2002,광영그린파크,108동,0,17109,108,4,258,3,0,"MULTIPOLYGON (((127.7140182173912 34.9679132525779, 127.7133193784196 34.96783896874352, 127.713305007776 34.96793969873832, 127.714001544088 34.96801604224444, 127.7140182173912 34.9679132525779)))",4,"[[[127.71401821739117, 34.9679132525779], [127.71331937841958, 34.96783896874352], [127.71330500777603, 34.96793969873832], [127.71400154408803, 34.968016042244436], [127.71401821739117, 34.9679132525779]]]",광영그린파크 108동
2002,광영그린파크,106동,0,17108,108,4,258,3,0,"MULTIPOLYGON (((127.7128580164461 34.96754292571497, 127.7124624192269 34.96749886747369, 127.7124485083339 34.9676009647532, 127.7128580181039 34.96764571670852, 127.7130037425255 34.96766164630105, 127.7130189560307 34.96756084830178, 127.7128580164461 34.96754292571497)))",4,"[[[127.71285801644613, 34.967542925714966], [127.71246241922688, 34.96749886747369], [127.71244850833394, 34.9676009647532], [127.71285801810389, 34.967645716708525], [127.71300374252554, 34.967661646301046], [127.71301895603071, 34.96756084830178], [127.71285801644613, 34.967542925714966]]]",광영그린파크 106동
2002,광영그린파크,상가동,0,17107,108,3,258,3,0,"MULTIPOLYGON (((127.7142433827268 34.96703035694179, 127.7141140215396 34.9670123227785, 127.7140368269237 34.96703633727083, 127.7140258356781 34.96710360710325, 127.7142249454338 34.96712791109375, 127.7142433827268 34.96703035694179)))",3,"[[[127.71424338272683, 34.96703035694179], [127.71411402153956, 34.9670123227785], [127.7140368269237, 34.967036337270834], [127.71402583567807, 34.967103607103255], [127.71422494543383, 34.96712791109375], [127.71424338272683, 34.96703035694179]]]",광영그린파크 상가동
2002,광영그린파크,102동,0,17118,108,4,258,3,0,"MULTIPOLYGON (((127.7141072753043 34.9674420853507, 127.7135885863569 34.96738078894148, 127.7135724245497 34.96748073627994, 127.7140913033518 34.96754365408576, 127.7141072753043 34.9674420853507)))",4,"[[[127.71410727530429, 34.967442085350704], [127.71358858635689, 34.967380788941476], [127.7135724245497, 34.96748073627994], [127.71409130335181, 34.96754365408576], [127.71410727530429, 34.967442085350704]]]",광영그린파크 102동
2002,광영그린파크,107동,0,17117,108,4,258,3,0,"MULTIPOLYGON (((127.7128580191886 34.96779024063353, 127.712739109151 34.96777797558562, 127.7127253068489 34.96787866613407, 127.7128580182027 34.96789272517633, 127.7132466833397 34.96793390233889, 127.7132646150507 34.96783217801057, 127.7128580191886 34.96779024063353)))",4,"[[[127.71285801918856, 34.96779024063353], [127.71273910915103, 34.96777797558562], [127.71272530684891, 34.96787866613407], [127.71285801820272, 34.967892725176334], [127.7132466833397, 34.96793390233889], [127.71326461505073, 34.96783217801057], [127.71285801918856, 34.96779024063353]]]",광영그린파크 107동
